AnoHecho;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;ActorVial;TipoVehiculoGrupo;ObjetoColision;CondicionVictima;DiaOcurrencia;Rango3horas;ConteoRegistros
2025.0;99001.0;Vichada;Puerto Carreno;Urbana;Mujer;48.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;Conductor;1.Lunes;12:00 a 14:59;1.0
2020.0;20011.0;Cesar;Aguachica;Urbana;HOMBRE;41.0;Usuario de moto;Usuario de moto;Motocicleta;Objeto fijo;;5.Viernes;00:00 a 02:59;1.0
2015.0;76001.0;Valle Del Cauca;Cali;Urbana;Hombre;26.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;6.Sábado;03:00 a 05:59;1.0
2025.0;5837.0;Antioquia;;Rural;Hombre;18.0;Usuario de moto;Usuario  de  moto;Motocicleta;Transporte de carga;Conductor;3.Miércoles;18:00 a 20:59;1.0
2025.0;15001.0;Boyaca;Tunja;Urbana;Hombre;85.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;1.Lunes;;1.0
2022.0;68655.0;Santander;Sabana Torres;Rural;Hombre;25.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;3.Miércoles;00:00 a 02:59;1.0
2020.0;27001.0;Choco;Quibdo;Rural;Mujer;42.0;Usuario de moto;Usuario de moto;Motocicleta;No aplica;Conductor;7.Domingo;;1.0
2017.0;5376.0;Antioquia;La Ceja;Rural;Mujer;17.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Transporte de pasajeros;Conductor;6.Sábado;09:00 a 11:59;
2015.0;15599.0;Boyaca;Ramiriqui;Urbana;Hombre;51.0;Peatón;peatón;No Aplica;Transporte individual;Peatón;5.Viernes;;1.0
2025.0;5736.0;Antioquia;Segovia;Rural;Mujer;74.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;6.Sábado;06:00 a 08:59;1.0
2020.0;25873.0;Cundinamarca;Villapinzon;Rural;Hombre;29.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Conductor;3.Miércoles;;1.0
2017.0;5051.0;Antioquia;Arboletes;Rural;Hombre;36.0;Usuario de moto;  Usuario de moto  ;Motocicleta;Objeto fijo;Conductor;2.Martes;00:00 a 02:59;1.0
2025.0;19532.0;Cauca;Patia;Urbana;Mujer;37.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte individual;Pasajero;1.Lunes;;1.0
2022.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;26.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Transporte de carga;Conductor;6.Sábado;;1.0
2021.0;25286.0;Cundinamarca;Funza;Rural;Hombre;23.0;Usuario de V.Individual;Usuario de vehículo;Transporte Individual;Transporte de carga;Pasajero;7.Domingo;03:00 a 05:59;1.0
2020.0;76520.0;Valle Del Cauca;Palmira;Rural;Hombre;45.0;Peatón;Peatón;No Aplica;Sin info.;Peatón;7.Domingo;;
2017.0;76001.0;Valle Del Cauca;Cali;Urbana;Mujer;42.0;Usuario de moto;;Motocicleta;Motocicleta;Conductor;5.Viernes;06:00 a 08:59;1.0
2019.0;41132.0;Huila;Campoalegre;Rural;Mujer;61.0;Usuario de moto;Usuario de moto;Motocicleta;Motocicleta;Pasajero;6.Sábado;09:00 a 11:59;1.0
2015.0;44430.0;La Guajira;Maicao;Rural;Mujer;49.0;Usuario de moto;Usuario de moto;Motocicleta;Transporte de carga;Pasajero;7.Domingo;03:00 a 05:59;1.0
2023.0;11001.0;Bogota Dc;Bogota;Urbana;Mujer;84.0;Peatón;Peatón;No Aplica;Transporte de carga;Peatón;1.Lunes;09:00 a 11:59;1.0
2022.0;13001.0;Bolivar;Cartagena;Urbana;Hombe;70.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;2.Martes;;1.0
2020.0;68755.0;Santander;Socorro;Urbana;Hombre;32.0;Peatón;Peatón;No Aplica;Motocicleta;Peatón;2.Martes;;1.0
2018.0;76520.0;Valle Del Cauca;Palmira;Urbana;Hombre;22.0;Peatón;Peatón;No Aplica;Sin info.;Peatón;7.Domingo;;1.0
2018.0;11001.0;Bogota Dc;Bogota;Urbana;Hombre;60.0;Usuario de bicicleta;Usuario de bicicleta;Bicicleta;Transporte de pasajeros;Conductor;6.Sábado;18:00  a  20:59;1.0
2016.0;73349.0;Tolima;Honda;Rural;Mujer;33.0;Usuario T.Pasajeros;Usuario de vehículo;Transporte De Pasajeros;Transporte de pasajeros;Pasajero;3.Miércoles;;1.0
