FechaHecho;DiaOcurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;UsuarioVia;Rango3horas;ConteoRegistros
2016-03-26;6.Sábado;11001.0;Bogota Dc;;Urbana;Usuario  de  bicicleta;12:00 a 14:59;1.0
2016-03-26;6.Sábado;13001.0;Bolivar;Cartagena;Rural;Peatón;;1.0
2016-03-26;6.Sábado;20045.0;Cesar;Becerril;Urbana;Usuario de moto;;1.0
2016-03-26;6.Sábado;23001.0;Cordoba;;Urbana;Usuario de moto;;2.0
2016-03-26;6.Sábado;41396.0;Huila;La Plata;Urbana;Usuario de moto;;1.0
2016-03-26;6.Sábado;47001.0;Magdalena;Santa Marta;Urbana;Usuario de bicicleta;;1.0
2016-03-26;6.Sábado;50287.0;Meta;Fuente Oro;Rural;Usuario de moto;;1.0
2016-03-26;;50313.0;Meta;Granada;Rural;Usuario de moto;;1.0
2016-03-26;6.Sábado;63001.0;Quindio;Armenia;Urbana;Peatón;;1.0
2016-03-26;6.Sábado;68077.0;Santander;Barbosa;URBANA;Peatón;03:00 a 05:59;1.0
2016-03-26;6.Sábado;68307.0;Santander;Giron;Urbana;Usuario de moto;18:00 a 20:59;1.0
;6.Sábado;70001.0;Sucre;  Sincelejo  ;Urbana;Usuario de moto;21:00 a 23:59;1.0
2016-03-26;6.Sábado;73268.0;Tolima;Espinal;Rural;Usuario de moto;15:00 a 17:59;1.0
2016-03-26;6.Sábado;76001.0;Valle Del Cauca;Cali;Urbana;Usuario de moto;18:00 a 20:59;1.0
2016-03-27;7.Domingo;5001.0;Antioquia;Medellin;Urbana;Peatón;03:00 a 05:59;1.0
2016-03-27;7.Domingo;5001.0;Antioquia;Medellin;Urbana;Peatón;09:00 a 11:59;1.0
2016-03-27;7.Domingo;;Antioquia;Arboletes;Rural;Usuario de moto;09:00 a 11:59;1.0
2016-03-27;7.Domingo;5120.0;Antioquia;Caceres;Sin Información;Usuario de moto;;1.0
2016-03-27;7.domingo;5837.0;Antioquia;Turbo;Sin Información;Usuario de moto;  18:00 a 20:59  ;1.0
2016-03-27;7.Domingo;5890.0;Antioquia;Yolombo;Rural;Usuario de moto;09:00 a 11:59;1.0
2016-03-27;7.Domingo;13442.0;Bolivar;Maria La Baja;Rural;Peatón;;1.0
2016-03-27;7.Domingo;20011.0;Cesar;Aguachica;Rural;Usuario de moto;18:00 a 20:59;2.0
2016-03-27;7.Domingo;23001.0;Cordoba;;Urbana;Usuario de moto;;1.0
2016-03-27;7.Domingo;25402.0;Cundinamarca;La Vega;Rural;Usuario de V.Individual;09:00 a 11:59;1.0
2016-03-27;7.Domingo;47001.0;Magdalena;Santa Marta;Urbana;Peatón;;1.0
2016-03-27;7.Domingo;54820.0;Norte Santander;Toledo;Urbana;Usuario de moto;;1.0
2016-03-27;7.Domingo;73268.0;Tolima;Espinal;Urbana;Usuario de moto;;1.0
2016-03-27;;76520.0;Valle Del Cauca;;Urbana;Peatón;15:00 a 17:59;1.0
2016-03-27;7.Domingo;81736.0;Arauca;Saravena;Rural;Usuario de moto;;1.0
2016-04-29;5.Viernes;5042.0;Antioquia;Santafe Antioquia;Urbana;Usuario de moto;;1.0
2016-04-29;5.Viernes;5360.0;Antioquia;Itagui;Urbana;Usuario de moto;;1.0
2016-04-29;5.Viernes;11001.0;Bogota Dc;Bogota;Urbana;Peatón;12:00 a 14:59;1.0
2016-04-29;5.Viernes;25053.0;Cundinamarca;Arbelaez;Urbana;Usuario T.Pasajeros;;1.0
2016-04-29;5.Viernes;50001.0;Meta;Villavicencio;Urbana;Peatón;12:00 a 14:59;1.0
2016-04-29;5.Viernes;50287.0;Meta;Fuente Oro;Rural;Usuario de moto;;1.0
