FechaVersion;AnoHecho;MesOCurrencia;CodigoMunicipioHecho;Departamento;Municipio;Zona;Sexo;Edad;UsuarioVia;TipoVehiculoGrupo;ObjetoColision;ConteoRegistros
2024-08-31;2024.0;;5440.0;Antioquia;Marinilla;Rural;Hombre;60.0;Usuario de moto;Motocicleta;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;5490.0;Antioquia;Necocli;Rural;Hombre;33.0;Usuario de moto;Motociclta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5490.0;Antioquia;Necocli;Rural;Hombre;55.0;Peatón;No Aplica;Transporte de pasajeros;1.0
2024-08-31;2024.0;01.Enero;5541.0;Antioquia;Penol;Rural;Mujer;27.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5541.0;Antioquia;Penol;Sin Información;Hombre;28.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5591.0;Antioquia;Puerto Triunfo;Rural;Hombre;72.0;Usuario de otros;Maq. Agrícola;No aplica;1.0
2024-08-31;2024.0;01.Enero;5607.0;Antioquia;Retiro;Urbana;Hombre;27.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5615.0;Antioquia;Rionegro;Rural;Hombre;21.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5615.0;Antioquia;Rionegro;Rural;Hombre;60.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5615.0;Antioquia;Rionegro;Urbana;Hombre;48.0;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5615.0;Antioquia;Rionegro;;Hombre;77.0;Usuario de bicicleta;Bicicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5631.0;Antioquia;Sabaneta;Urbana;Hombre;53.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;5631.0;Antioquia;Sabaneta;Urbana;Hombre;59.0;Usuario de moto;Motocicleta;Transporte de carga;1.0
2024-08-31;2024.0;01.Enero;;Antioquia;Salgar;Rural;Hombre;21.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5642.0;Antioquia;Salgar;Rural;Hmbre;59.0;Usuario de bicicleta;Bicicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5656.0;Antioquia;San Jeronimo;Rural;Hombre;19.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5659.0;Antioquia;San Juan Uraba;Rural;Hombre;30.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5660.0;Antioquia;San Luis;Rural;Hombre;27.0;Usuario T.Carga;Transporte De Carga;No aplica;1.0
2024-08-31;2024.0;01.Enero;5664.0;Antioquia;San Pedro;Rural;Mujer;21.0;Usuario de V.Individual;Transporte Individual;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5686.0;Atioquia;Santa Rosa Osos;Rural;Hombre;1.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Hombre;12.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Hombre;22.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Hombre;25.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Hombre;37.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Mujer;4.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
31-08-2024;2024.0;;5686.0;Antioquia;Santa Rosa Osos;Rural;Mujer;10.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Rural;Mujer;52.0;Usuario T.Pasajeros;Transporte De Pasajeros;Objeto fijo;1.0
31/08/2024;2024.0;01.Enero;5686.0;Antioquia;Santa Rosa Osos;Urbana;Hombre;11.0;Usuario T.Pasajeros;Transporte De Pasajeros;No aplica;1.0
2024-08-31;2024.0;01.Enero;5761.0;Antioquia;Sopetran;Rural;Hombre;34.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5790.0;Antioquia;Taraza;Rural;Hombre;34.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5790.0;Antioquia;Taraza;Urbana;Hombre;;Peatón;No Aplica;Motocicleta;1.0
2024-08-31;2024.0;01.Enero;5837.0;Antioquia;Turbo;Rural;Hombre;51.0;Usuario de moto;Motocicleta;Motocicleta;1.0
2024-08-31;2024,0;01.Enero;5837.0;Antioquia;Turbo;Rural;Mujer;68.0;Peatón;No Aplica;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5854.0;Antioquia;Valdivia;Rural;Hombre;42.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5854.0;Antioquia;;Rural;Mujer;29.0;Usuario de moto;Motocicleta;No aplica;1.0
2024-08-31;2024.0;01.Enero;5854.0;Antioquia;Valdivia;Rural;Mujer;35.0;Usuario de moto;Motocicleta;Transporte individual;1.0
2024-08-31;2024.0;01.Enero;5854.0;Antioquia;Valdivia;Rural;Mujer;62.0;Usuario de V.Individual;Transporte Individual;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5854.0;Antioquia;Valdivia;Urbana;Hombre;35.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5856.0;Antioquia;Valparaiso;Urbana;Hombre;45.0;Usuario de moto;Motocicleta;Maq. industrial;1.0
2024-08-31;2024.0;01.Enero;5856.0;Antioquia;Valparaiso;Urbana;Mujer;36.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5858.0;Antioquia;Vegachi;Urbana;Hombre;26.0;Usuario de moto;Motocicleta;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5887.0;Antioquia;Yarumal;Rural;Hombre;19.0;Peatón;No Aplica;;
2024-08-31;2024.0;01.Enero;5887.0;Antioquia;Yarumal;Rural;Hombre;45.0;Usuario T.Carga;Transporte De Carga;Objeto fijo;1.0
2024-08-31;2024.0;01.Enero;5887.0;Antioquia;Yarumal;Rural;Hombre;59.0;Usuario T.Pasajeros;Transporte De Pasajeros;Sin info.;1.0
2024-08-31;2024.0;01.Enero;5887.0;ANTIOQUIA;Yarumal;Rural;Hombre;66.0;Usuario T.Carga;Transporte De Carga;Objeto fijo;1.0
